,Device ID,Sensor
0,11706,
1,10981,
2,10980,
3,10679,
4,10680,
5,10682,
6,11659,
7,10618,
8,12017,
9,10500,
10,10501,
11,12041,
12,10490,
13,10016,
14,10017,
15,10018,
16,10019,
17,10042,
18,9842,
19,9843,
20,10108,
21,9837,
22,9601,
23,9600,
24,9599,
25,9598,
26,9510,
27,9511,
28,9985,
29,9574,
30,9291,
31,9271,
32,9012,
33,9004,
34,9084,
35,9085,
36,9086,
37,8989,
38,9986,
39,9093,
40,9094,
41,8844,
42,8832,
43,8843,
44,8830,
45,8819,
46,8803,
47,8569,
48,8639,
49,8591,
50,8590,
51,8589,
52,8512,
53,8377,
54,8352,
55,8298,
56,8205,
57,8157,
58,8105,
59,8060,
60,7937,
61,7936,
62,7935,
63,8449,
64,7896,
65,7897,
66,7856,
67,7851,
68,7847,
69,8167,
70,7846,
71,7845,
72,7844,
73,7843,
74,8230,
75,7776,
76,7720,
77,7709,
78,7708,
79,7570,
80,7652,
81,7571,
82,7549,
83,7548,
84,7547,
85,7546,
86,7545,
87,7544,
88,7543,
89,7190,
90,7234,
91,7189,
92,7081,
93,7080,
94,7092,
95,7093,
96,7094,
97,7098,
98,7097,
99,7096,
100,7095,accelerometer
101,6936,accelerometer
102,6936,proximity
103,6935,accelerometer
104,6934,accelerometer
105,6933,accelerometer
106,6979,accelerometer
107,6932,accelerometer
108,6774,accelerometer
109,6774,proximity
110,6773,accelerometer
111,6773,proximity
112,6732,accelerometer
113,6732,proximity
114,6732,compass
115,6712,accelerometer
116,7123,accelerometer
117,7123,proximity
118,7123,compass
119,6700,accelerometer
120,6700,proximity
121,6699,accelerometer
122,6699,proximity
123,6699,compass
124,6657,accelerometer
125,6657,gyro
126,6657,proximity
127,6657,compass
128,6656,accelerometer
129,6656,gyro
130,6656,proximity
131,6656,compass
132,7154,accelerometer
133,7154,proximity
134,7153,accelerometer
135,7153,proximity
136,6655,accelerometer
137,6654,accelerometer
138,6654,gyro
139,6654,proximity
140,6654,compass
141,6653,accelerometer
142,6653,gyro
143,6653,proximity
144,6653,compass
145,6619,accelerometer
146,6599,accelerometer
147,6516,accelerometer
148,6459,
149,6931,
150,6695,
151,6696,
152,6337,
153,6336,
154,6165,
155,6164,
156,6153,accelerometer
157,6153,proximity
158,6153,compass
159,6152,accelerometer
160,6152,proximity
161,6152,compass
162,6151,accelerometer
163,6151,proximity
164,6151,compass
165,6141,
166,6140,accelerometer
167,6140,proximity
168,6140,compass
169,6139,accelerometer
170,6139,proximity
171,6139,compass
172,6138,accelerometer
173,6138,proximity
174,6134,accelerometer
175,6134,proximity
176,6134,compass
177,6130,accelerometer
178,6130,proximity
179,6130,compass
180,6135,accelerometer
181,6135,proximity
182,6135,compass
183,6131,accelerometer
184,6131,proximity
185,6131,compass
186,6132,accelerometer
187,6132,proximity
188,5960,
189,6167,
190,5937,accelerometer
191,5937,proximity
192,5937,compass
193,5938,accelerometer
194,5938,proximity
195,5947,
196,5939,
197,5741,accelerometer
198,5741,proximity
199,5740,accelerometer
200,5740,proximity
201,5693,accelerometer
202,5693,proximity
203,5693,compass
204,5692,accelerometer
205,5692,proximity
206,5687,accelerometer
207,5687,proximity
208,5691,accelerometer
209,5680,
210,5671,accelerometer
211,5671,proximity
212,5671,compass
213,5672,accelerometer
214,5672,gyro
215,5672,proximity
216,5668,accelerometer
217,5668,proximity
218,5668,compass
219,5669,accelerometer
220,5669,proximity
221,5669,compass
222,5449,accelerometer
223,5335,accelerometer
224,5335,proximity
